Customer ID,Gender,Age,Years with Firm,Active on Social Media,Average Transactions per Month,RFM Score,Credit Balance (AED),Customer Bio,Customer Name,Customer Username,Profile Picture on Social Media,Number of Referrals,Payback Status
CUST0105,Male,27,10,Yes,3.4,3,-2,Fitness,Customer 105,customer105,Yes,1,10
CUST0106,Female,62,2,No,10.32,5,415,"Loves photography, music, and exploring new cultures",Customer 106,customer106,Yes,3,7
CUST0107,Female,50,2,Yes,2.91,1,596,Shopaholic,Customer 107,user_107,No,5,Default
CUST0108,Male,17,6,Yes,12.72,1,502,Foodie,Customer 108,user_108,Yes,9,6
CUST0109,Female,40,4,No,5.12,2,400,Shopaholic,Customer 109,customer109,No,10,Default
CUST0110,Female,20,3,Yes,11.58,5,890,"Avid reader, tech enthusiast, and fitness lover",Customer 110,user_110,Yes,1,3
CUST0111,Female,53,5,Yes,11.03,3,252,Shopaholic,Customer 111,customer111,Yes,8,2
CUST0112,Male,41,9,No,5.61,5,960,Tech geek who loves exploring cutting-edge solutions,Customer 112,user_112,Yes,1,8
CUST0113,Male,61,4,Yes,16.1,5,785,"Loves photography, music, and exploring new cultures",Customer 113,user_113,Yes,4,7
CUST0114,Male,53,10,No,8.46,2,711,Food lover,Customer 114,user_114,No,1,Default
CUST0115,Female,19,1,Yes,17.1,5,395,Always learning and sharing my experiences,Customer 115,user_115,Yes,0,11
CUST0116,Female,47,10,Yes,6.87,4,582,"Avid reader, tech enthusiast, and fitness lover",Customer 116,user_116,Yes,1,11
CUST0117,Female,60,4,No,7.5,2,565,Food lover,Customer 117,user_117,Yes,7,Default
CUST0118,Female,51,8,No,16.32,2,907,Passionate about photography,Customer 118,user_118,No,3,Default
CUST0119,Male,31,3,Yes,14.63,2,247,Fitness,Customer 119,user_119,No,9,Default
CUST0120,Male,29,5,Yes,9.88,1,259,Fitness,Customer 120,user_120,No,8,Default
CUST0121,Male,38,1,Yes,3.8,1,862,Enjoying,Customer 121,user_121,No,7,8
CUST0122,Female,59,0,No,16.92,4,132,Adventure seeker and nature enthusiast,Customer 122,user_122,Yes,2,8
CUST0123,Female,48,8,Yes,4.34,2,961,Fitness,Customer 123,customer123,No,7,6
CUST0124,Female,24,5,Yes,10.67,2,940,Foodie,Customer 124,user_124,No,2,Default
CUST0125,Female,24,10,No,3.45,5,719,Fitness fanatic with a love for outdoor adventures,Customer 125,user_125,Yes,0,4
CUST0126,Female,31,9,No,9.65,4,180,"Foodie, traveler, and passionate about personal growth",Customer 126,customer126,Yes,6,8
CUST0127,Male,24,8,No,8.23,3,484,Love,Customer 127,customer127,Yes,10,6
CUST0128,Male,40,10,Yes,1.87,1,822,Shopaholic and proud,Customer 128,user_128,No,9,Default
CUST0129,Male,48,7,No,10.4,2,975,Love,Customer 129,customer129,No,1,8
CUST0130,Female,34,5,Yes,7.09,2,809,Traveler,Customer 130,user_130,No,5,Default
CUST0131,Male,49,9,No,13.12,1,567,Love,Customer 131,user_131,No,8,2
CUST0132,Male,41,0,Yes,10.01,,170,Fitness enthusiast,Customer 132,user_132,Yes,1,Default
CUST0133,Male,41,3,Yes,12.73,2,798,Traveler and dreamer,Customer 133,user_133,Yes,2,Default
CUST0134,Female,34,10,Yes,19.68,2,732,Shopaholic,Customer 134,customer134,No,3,Default
CUST0135,Male,60,8,No,17.61,1,808,Shopaholic,Customer 135,customer135,No,3,Default
CUST0136,Female,49,5,No,13.97,5,187,Passionate about sustainable living and healthy eating,Customer 136,customer136,Yes,1,5
CUST0137,Female,31,9,No,11.37,3,785,Traveler,Customer 137,user_137,Yes,10,3
CUST0138,Female,17,7,Yes,12.91,2,76,Fitness,Customer 138,user_138,No,9,7
CUST0139,Male,60,6,Yes,15.43,1,572,Shopaholic,Customer 139,user_139,No,7,Default
CUST0140,Female,19,0,No,18.62,3,518,Traveler,Customer 140,user_140,Yes,1,11
CUST0141,Female,38,2,No,4.33,,910,Love,Customer 141,user_141,No,0,Default
CUST0142,Female,18,8,Yes,2.28,4,882,Loves exploring new cuisines and traveling the world,Customer 142,user_142,Yes,2,7
CUST0143,Male,60,6,No,17.83,4,808,Fitness fanatic with a love for outdoor adventures,Customer 143,user_143,Yes,9,3
CUST0144,Female,22,0,No,15.07,2,773,Tech geek,Customer 144,user_144,No,4,Default
CUST0145,Male,21,7,No,13.63,5,224,Always learning and sharing my experiences,Customer 145,customer145,Yes,0,3
CUST0146,Male,22,4,No,16.64,,807,Traveler,Customer 146,user_146,No,7,Default
CUST0147,Male,27,9,Yes,6.25,1,253,Traveler,Customer 147,user_147,No,6,Default
CUST0148,Female,29,4,Yes,13.8,2,570,Foodie,Customer 148,user_148,No,3,8
CUST0149,Female,33,5,No,2.6,2,222,Fitness,Customer 149,user_149,No,8,Default
CUST0150,Female,42,7,No,17.51,1,595,,Customer 150,user_150,No,9,Default
CUST0151,Female,41,9,No,3.26,5,28,Always learning and sharing my experiences,Customer 151,user_151,Yes,2,6
CUST0152,Male,31,4,Yes,7.11,1,865,Shopaholic,Customer 152,customer152,No,0,Default
CUST0153,Male,45,3,Yes,8.77,2,790,Traveler,Customer 153,user_153,Yes,10,12
CUST0154,Male,20,0,Yes,6.9,2,386,Traveler,Customer 154,user_154,No,9,5
CUST0155,Female,39,9,Yes,1.83,1,142,Traveler,Customer 155,user_155,Yes,1,12
CUST0156,Female,17,0,No,1.14,5,489,Loves exploring new cuisines and traveling the world,Customer 156,customer156,Yes,3,10
CUST0157,Female,46,6,Yes,18.23,1,901,Shopaholic,Customer 157,user_157,No,8,Default
CUST0158,Male,26,3,No,18.09,4,68,Tech geek who loves exploring cutting-edge solutions,Customer 158,user_158,Yes,8,9
CUST0159,Male,46,1,Yes,15.39,1,210,Shopaholic and proud,Customer 159,user_159,No,1,Default
CUST0160,Male,30,1,No,6.13,2,64,Love,Customer 160,user_160,No,7,1
CUST0161,Male,51,4,No,10.22,1,351,Fitness,Customer 161,user_161,No,10,Default
CUST0162,Male,42,6,Yes,18.22,3,198,Fitness,Customer 162,user_162,Yes,9,11
CUST0163,Male,42,10,Yes,7.89,1,588,Shopaholic,Customer 163,user_163,No,9,Default
CUST0164,Male,50,3,No,2.52,2,59,Traveler,Customer 164,user_164,Yes,2,Default
CUST0165,Female,31,5,No,15.06,3,77,Traveler,Customer 165,user_165,Yes,1,8
CUST0166,Male,39,5,No,15.61,1,762,Shopaholic,Customer 166,user_166,No,8,Default
CUST0167,Male,33,0,No,15.7,4,449,"Avid reader, tech enthusiast, and fitness lover",Customer 167,user_167,Yes,2,1
CUST0168,Male,23,8,No,7.84,2,661,Traveler,Customer 168,user_168,No,5,1
CUST0169,Male,39,2,Yes,10.83,2,4,Always learning,Customer 169,user_169,No,4,11
CUST0170,Male,30,2,Yes,5.81,1,222,Always learning,Customer 170,user_170,Yes,7,Default
CUST0171,Male,44,0,Yes,11.2,2,718,Enjoying the small moments,Customer 171,customer171,No,10,2
CUST0172,Female,44,9,Yes,6.04,1,83,Traveler,Customer 172,user_172,No,1,Default
CUST0173,Male,55,0,Yes,14.14,3,788,Fitness,Customer 173,user_173,Yes,2,3
CUST0174,Female,26,5,No,1.08,3,616,Enjoying,Customer 174,customer174,Yes,8,11
CUST0175,Male,48,0,No,5.14,1,981,Love,Customer 175,user_175,No,4,10
CUST0176,Female,52,7,Yes,12.57,2,394,Traveler,Customer 176,user_176,No,3,Default
CUST0177,Male,64,10,Yes,16.64,1,927,Traveler,Customer 177,customer177,Yes,10,2
CUST0178,Male,50,10,No,18.68,1,502,Enjoying the small moments,Customer 178,user_178,No,0,Default
CUST0179,Male,47,10,Yes,14.97,2,60,Shopaholic,Customer 179,user_179,Yes,0,Default
CUST0180,Female,30,10,No,6.08,5,421,Creative thinker who enjoys innovation and challenges,Customer 180,user_180,Yes,3,3
CUST0181,Male,24,6,No,15.72,1,30,Always learning,Customer 181,user_181,No,3,Default
CUST0182,Female,20,4,Yes,1.13,2,115,Fitness,Customer 182,user_182,No,5,Default
CUST0183,Female,63,4,Yes,1.42,1,691,Passionate about photography,Customer 183,user_183,Yes,4,Default
CUST0184,Female,19,4,Yes,15.32,1,351,Shopaholic,Customer 184,user_184,No,7,8
CUST0185,Male,57,4,No,5.61,2,282,Shopaholic,Customer 185,user_185,No,8,Default
CUST0186,Male,38,0,Yes,8.22,1,667,Adventure seeker,Customer 186,user_186,No,1,Default
CUST0187,Female,21,10,Yes,2.62,1,186,Shopaholic and proud,Customer 187,user_187,Yes,6,Default
CUST0188,Male,48,6,No,14.5,1,644,Shopaholic,Customer 188,user_188,No,6,Default
CUST0189,Female,59,3,Yes,5.82,2,691,Adventure seeker,Customer 189,user_189,No,3,Default
CUST0190,Female,41,6,No,11.98,1,749,Music lover,Customer 190,user_190,Yes,2,Default
CUST0191,Female,38,4,No,15.85,4,707,Fitness fanatic with a love for outdoor adventures,Customer 191,user_191,Yes,8,8
CUST0192,Female,50,3,Yes,18.77,2,223,Tech geek,Customer 192,user_192,Yes,2,Default
CUST0193,Female,47,10,Yes,18.35,1,932,Passionate about photography,Customer 193,customer193,Yes,5,Default
CUST0194,Male,26,8,Yes,16.87,1,646,Foodie,Customer 194,user_194,No,10,Default
CUST0195,Male,62,7,No,11.12,3,454,Enjoying,Customer 195,user_195,Yes,9,12
CUST0196,Male,50,1,No,14.24,2,117,Enjoying,Customer 196,user_196,No,6,2
CUST0197,Male,44,9,Yes,4.8,3,256,Love,Customer 197,user_197,Yes,5,7
CUST0198,Male,24,7,No,7.47,3,806,Shopaholic,Customer 198,user_198,Yes,3,8
CUST0199,Female,34,7,No,1.19,1,330,Food lover,Customer 199,user_199,Yes,5,Default
CUST0200,Male,55,1,No,14.68,1,608,Shopaholic,Customer 200,user_200,No,5,11
CUST0201,Male,54,5,Yes,5.05,2,62,Fitness,Customer 201,customer201,No,3,6
CUST0202,Female,33,4,No,7.11,1,436,Foodie,Customer 202,user_202,No,0,Default
CUST0203,Male,37,5,No,12.49,4,162,"Loves photography, music, and exploring new cultures",Customer 203,customer203,Yes,5,10
CUST0204,Male,46,5,No,12.88,2,29,Enjoying the small moments,Customer 204,user_204,Yes,5,Default
CUST0205,Female,58,10,Yes,1.19,3,304,Enjoying,Customer 205,user_205,Yes,6,4
CUST0206,Female,54,4,Yes,7.57,2,820,Bookworm,Customer 206,customer206,No,0,3
CUST0207,Female,29,3,Yes,103589.7093,2,989,Adventure seeker,Customer 207,user_207,Yes,2,4
CUST0208,Female,31,0,No,19.17,1,141,Traveler and dreamer,Customer 208,user_208,Yes,9,Default
CUST0209,Female,39,2,Yes,15.82,2,685,Shopaholic and proud,Customer 209,user_209,No,4,7
CUST0210,Male,21,3,No,14.3,5,532,Always learning and sharing my experiences,Customer 210,user_210,Yes,2,3
CUST0211,Female,58,3,No,9.48,2,667,Adventure seeker,Customer 211,user_211,Yes,3,Default
CUST0212,Male,19,8,Yes,13.31,2,550,Food lover,Customer 212,user_212,Yes,2,Default
CUST0213,Male,49,10,Yes,1.94,5,63,"Foodie, traveler, and passionate about personal growth",Customer 213,customer213,Yes,9,3
CUST0214,Female,50,5,No,19.76,3,605,Traveler,Customer 214,user_214,Yes,2,5
CUST0215,Male,51,10,No,14.42,3,251,Fitness,Customer 215,user_215,Yes,8,12
CUST0216,Male,35,1,Yes,8.67,1,595,Enjoying,Customer 216,customer216,No,8,Default
CUST0217,Male,17,1,Yes,13.68,4,982,Always learning and sharing my experiences,Customer 217,user_217,Yes,6,2
CUST0218,Male,54,2,No,17.22,3,162,Enjoying,Customer 218,user_218,Yes,7,4
CUST0219,Male,20,4,No,6.93,4,981,"Loves photography, music, and exploring new cultures",Customer 219,user_219,Yes,3,11
CUST0220,Female,18,3,No,6.36,1,463,,Customer 220,user_220,No,2,Default
CUST0221,Male,43,0,Yes,3.47,1,651,Tech geek,Customer 221,user_221,No,7,Default
CUST0222,Female,40,3,No,12.95,5,767,Always learning and sharing my experiences,Customer 222,user_222,Yes,9,5
CUST0223,Female,43,1,Yes,7.8,1,717,Traveler,Customer 223,user_223,No,5,Default
CUST0224,Female,34,5,No,9.55,2,468,Traveler,Customer 224,user_224,No,7,6
CUST0225,Female,27,2,Yes,14.82,4,231,Fitness fanatic with a love for outdoor adventures,Customer 225,customer225,Yes,9,1
CUST0226,Female,20,9,Yes,8.91,2,218,Enjoying the small moments,Customer 226,user_226,No,6,6
CUST0227,Female,63,4,No,8.51,2,368,Food lover,Customer 227,customer227,No,2,Default
CUST0228,Female,30,2,No,17.22,3,-3,Shopaholic,Customer 228,user_228,Yes,2,8
CUST0229,Female,20,1,Yes,10.36,2,722,Foodie,Customer 229,customer229,Yes,7,11
CUST0230,Female,17,9,No,8.17,5,890,"Avid reader, tech enthusiast, and fitness lover",Customer 230,user_230,Yes,1,10
CUST0231,Male,38,3,No,13.05,2,603,Tech geek,Customer 231,user_231,No,8,Default
CUST0232,Male,47,8,No,10.92,5,973,Tech geek who loves exploring cutting-edge solutions,Customer 232,user_232,Yes,0,7
CUST0233,Female,46,3,Yes,9.94,1,954,Bookworm,Customer 233,user_233,No,8,Default
CUST0234,Female,30,8,Yes,16.41,4,406,"Avid reader, tech enthusiast, and fitness lover",Customer 234,customer234,Yes,1,7
CUST0235,Female,63,2,Yes,4.12,2,930,Enjoying,Customer 235,user_235,No,3,Default
CUST0236,Female,40,8,No,1.51,4,114,"Avid reader, tech enthusiast, and fitness lover",Customer 236,customer236,Yes,10,4
CUST0237,Female,43,3,No,4.52,1,377,Shopaholic and proud,Customer 237,user_237,No,6,5
CUST0238,Male,38,0,No,8.73,4,730,Passionate about sustainable living and healthy eating,Customer 238,user_238,Yes,6,11
CUST0239,Female,52,3,Yes,11.36,1,466,Foodie,Customer 239,user_239,No,4,Default
CUST0240,Male,36,4,No,10.8,1,890,Passionate about photography,Customer 240,customer240,Yes,2,Default
CUST0241,Female,58,8,No,5.11,3,275,Enjoying,Customer 241,customer241,Yes,9,2
CUST0242,Male,34,1,Yes,11.19,2,314,,Customer 242,user_242,Yes,6,Default
CUST0243,Female,38,10,Yes,2.24,1,7,Adventure seeker,Customer 243,user_243,Yes,7,Default
CUST0244,Male,42,4,No,12.39,3,424,Fitness,Customer 244,user_244,Yes,3,2
CUST0245,Male,30,8,Yes,18.01,3,12,Love,Customer 245,user_245,Yes,6,2
CUST0246,Male,32,7,No,6.03,1,626,,Customer 246,user_246,Yes,4,Default
CUST0247,Male,27,2,Yes,1.02,1,941,Love,Customer 247,user_247,No,6,5
CUST0248,Male,18,2,Yes,5.14,4,774,"Loves photography, music, and exploring new cultures",Customer 248,user_248,Yes,0,6
CUST0249,Female,21,4,No,19.36,2,180,Shopaholic,Customer 249,user_249,No,4,Default
CUST0250,Female,55,1,No,15.11,2,286,Shopaholic,Customer 250,customer250,No,1,Default
CUST0251,Male,50,1,Yes,2.65,1,762,Foodie,Customer 251,user_251,No,6,9
CUST0252,Female,26,6,No,11.42,3,695,Traveler,Customer 252,user_252,Yes,0,4
CUST0253,Male,54,3,Yes,14.91,3,832,Traveler,Customer 253,user_253,Yes,1,1
CUST0254,Male,60,5,No,5.99,1,263,Traveler,Customer 254,user_254,No,0,Default
CUST0255,Male,18,9,Yes,14.59,,140,Enjoying,Customer 255,customer255,No,5,Default
CUST0256,Female,54,4,No,15.3,2,498,Enjoying the small moments,Customer 256,user_256,Yes,9,11
CUST0257,Male,24,5,No,1.17,2,390,Love,Customer 257,user_257,No,1,Default
CUST0258,Female,35,1,No,14.09,,719,Enjoying,Customer 258,user_258,No,4,Default
CUST0259,Female,62,9,No,18.89,2,146,Shopaholic,Customer 259,user_259,No,7,Default
CUST0260,Female,48,1,No,1.23,2,139,Foodie,Customer 260,user_260,No,1,Default
CUST0261,Male,26,10,Yes,2.4,5,60,Fitness fanatic with a love for outdoor adventures,Customer 261,customer261,Yes,3,9
CUST0262,Female,23,3,No,13.07,1,301,Adventure seeker,Customer 262,user_262,No,7,Default
CUST0263,Male,32,8,Yes,114863.8691,1,284,Enjoying,Customer 263,user_263,No,5,Default
CUST0264,Male,42,8,No,2.68,2,694,Shopaholic,Customer 264,user_264,No,4,4
CUST0265,Female,29,1,No,16.5,2,681,Traveler,Customer 265,user_265,No,0,10
CUST0266,Male,62,7,No,4.78,4,622,Tech geek who loves exploring cutting-edge solutions,Customer 266,user_266,Yes,5,1
CUST0267,Male,26,0,No,13.94,3,606,Fitness,Customer 267,user_267,Yes,8,7
CUST0268,Female,36,3,No,15.33,2,895,Always learning,Customer 268,user_268,No,9,10
CUST0269,Male,37,7,No,16.16,1,468,Bookworm,Customer 269,user_269,No,5,3
CUST0270,Male,33,5,Yes,9.25,2,693,Enjoying,Customer 270,customer270,No,10,11
CUST0271,Female,52,3,No,9.41,5,697,"Loves photography, music, and exploring new cultures",Customer 271,user_271,Yes,5,10
CUST0272,Male,55,4,Yes,11.29,3,64,Traveler,Customer 272,user_272,Yes,5,6
CUST0273,Male,42,10,No,14.36,5,732,Tech geek who loves exploring cutting-edge solutions,Customer 273,user_273,Yes,8,10
CUST0274,Female,32,7,No,17.9,1,642,Traveler and dreamer,Customer 274,user_274,Yes,3,7
CUST0275,Male,17,4,Yes,7.79,1,805,Fitness enthusiast,Customer 275,user_275,Yes,5,4
